gate_group,gate_id,subset,metric,pass_condition,fail_condition,baseline_source,multi_pit_success_credit_allowed
primary,P1_profile_rmse,refinement_target,profile_depth_rmse_m_mean,25.5 <= 0.98 * 25.3 frozen baseline on same target subset,25.5 >= 25.3 frozen baseline or improvement only appears outside target subset,surface_forward_refinement_target_set.csv baseline_profile_depth_rmse_m,False
primary,P2_er_like,refinement_target,Er_like_error_mean,25.5 <= 0.98 * 25.3 frozen baseline on same target subset,Er-like worsens or is not reported,25.3 current baseline metrics joined by sample_id,False
primary,P3_projected_mask,refinement_target,IoU_mean_and_Dice_mean,IoU_mean >= baseline + 0.01 and Dice_mean >= baseline + 0.01,either IoU or Dice decreases on target subset,surface_forward_refinement_target_set.csv baseline_projected_mask_Dice plus 25.3 IoU,False
primary,P4_area_error,refinement_target,area_error_mean,"area_error_mean <= max(1.05 * baseline_area_error_mean, baseline_area_error_mean + 0.02)",area_error improves no metric or worsens beyond tolerance,25.3 current baseline metrics joined by sample_id,False
secondary,S1_rbc_like_control,rbc_like_smooth_pit,profile_rmse_and_Dice,profile_rmse_mean <= 1.05 * baseline and Dice_mean >= baseline - 0.02,RBC-like control collapses while non-RBC target improves,25.3 frozen baseline on RBC-like rows,False
secondary,S2_shape_family_coverage,flat/sharp/asymmetric/crack/irregular oracle-representable rows,per_shape_profile_rmse_mean,at least 4 of 5 non-multi families improve profile_rmse_mean,aggregate improves but fewer than 3 families improve,25.3 failure_mode_by_shape and target set,False
secondary,S3_forward_residual_alignment,refinement_target,forward_feature_residual_and_profile_rmse,forward residual decreases and profile_rmse_mean also decreases,forward residual decreases but profile/mask metrics do not improve,25.5 F0 diagnostic must report residual before/after,False
failure,F1_nonphysical_params,all refined six-param rows,parameter_bounds_and_profile_physics,all refined params remain in declared R1 bounds and generated profiles are nonnegative,"L/W/D/w out of bounds, negative profile, or D_m violates surface profile cap",surface_rbc_parameter_refinement_strategy_matrix.csv,False
failure,F2_multi_pit_credit,multi_pit_two_component_surface_defect,success_accounting,multi-pit reported only as excluded_negative_control or future component-set branch,multi-pit counted as RBC-refinement success,surface_forward_refinement_target_set.csv,False
failure,F3_baseline_transition,repository_docs,CURRENT_BASELINE.md,CURRENT_BASELINE.md unchanged,CURRENT_BASELINE.md modified or 25.5 described as baseline transition,git diff,False
